intervention_label,mu,var,k,pooled_mu,pooled_se,tau2_drug,outcome,intervention_class
finerenone,-0.2345722471378324,0.019916936104131516,1,-0.2345722471378324,0.14112737545965884,0.0,SAE,MRA
100 mg ly3540378; 25 mg ly3540378; 50 mg ly3540378,0.7760348403657129,0.37341002618780395,1,0.7760348403657129,0.6110728485113734,0.0,SAE,Other
active treatment,0.28768207245178085,0.4999999999999999,1,0.28768207245178085,0.7071067811865475,0.0,SAE,Other
air001,-0.7029033555053101,1.4804873405672947,1,-0.7029033555053101,1.2167527853131443,0.0,SAE,Other
allopurinol; verinurad + allopurinol,0.5596157879354227,0.6145552560646901,1,0.5596157879354227,0.7839357474083511,0.0,SAE,Other
anakinra,-0.6931471805599453,1.8499999999999999,1,-0.6931471805599453,1.3601470508735443,0.0,SAE,Other
azd4831,-0.6567795363890705,1.8915343915343916,1,-0.6567795363890705,1.3753306480749972,0.0,SAE,Other
azd4831 2.5 mg; azd4831 5 mg,-0.1310769490833045,0.11403631400235577,1,-0.1310769490833045,0.33769263243718506,0.0,SAE,Other
cilostazol,0.4054651081081644,0.7463768115942029,1,0.4054651081081644,0.8639310224747129,0.0,SAE,Other
coq10 + d-ribose; coq10 only; d-ribose only,-0.13023649672767,0.439973696617782,1,-0.13023649672767,0.663305130854407,0.0,SAE,Other
isosorbide dinitrate; isosorbide dinitrate + hydralazine,1.2321436812926323,1.068452380952381,1,1.2321436812926323,1.0336597026838092,0.0,SAE,Other
levosimendan 2.5mg/ml injectable solution,0.7472144018302211,1.3918128654970758,1,0.7472144018302211,1.1797511879617142,0.0,SAE,Other
macitentan,0.0,0.3051643192488262,1,0.0,0.5524167984853703,0.0,SAE,Other
neladenoson bialanate 10mg; neladenoson bialanate 20mg; neladenoson bialanate 30mg; neladenoson bialanate 40mg; neladenoson bialanate 5mg,0.6887708059601465,0.3713641819249726,1,0.6887708059601465,0.60939657196687,0.0,SAE,Other
oral nitrite,0.11778303565638346,0.1527777777777778,1,0.11778303565638346,0.39086797998528583,0.0,SAE,Other
oral treprostinil,0.047628048989254664,0.9523539421440727,1,0.047628048989254664,0.9758862342220391,0.0,SAE,Other
overall crd-740; period 1: crd-740; period 2: crd-740,-0.7016578702278539,0.7992177314211212,1,-0.7016578702278539,0.8939897826156187,0.0,SAE,Other
recieved cells,0.6931471805599453,1.3461538461538463,1,0.6931471805599453,1.1602387022306428,0.0,SAE,Other
semaglutide 2.4 mg,-0.8641264607499654,0.27577165346827154,1,-0.8641264607499654,0.5251396513959611,0.0,SAE,Other
sodium nitrite,0.3734254849068252,0.810625866334462,2,0.3734254849068252,0.900347636379672,0.0,SAE,Other
tirzepatide - mtd,-0.39725712769033483,0.13341684050130914,1,-0.39725712769033483,0.3652627006707763,0.0,SAE,Other
treatment arm,-0.5596157879354228,1.2321428571428572,1,-0.5596157879354228,1.1100193048514324,0.0,SAE,Other
dapa 10 mg,-0.19981755952430136,0.005203950657898034,2,-0.2104572461649301,0.06343257423671142,0.017741096350494097,SAE,SGLT2 inhibitors
dapagliflozin,0.8472978603872037,0.22574955908289238,1,-0.16701713900524323,0.1282515236399578,0.017741096350494097,SAE,SGLT2 inhibitors
empagliflozin,-0.291115968993671,0.003202268684672249,2,-0.28432923835474233,0.052082986621672975,0.017741096350494097,SAE,SGLT2 inhibitors
bay1021189 1.25 mg; bay1021189 2.5 mg; bay1021189 from 2.5 to 10 mg; bay1021189 from 2.5 to 5 mg,-0.20884831112738322,0.2032961774475032,1,-0.20884831112738322,0.4508837737682553,0.0,SAE,sGC stimulators
praliciguat,-0.7041970167465302,1.477899877899878,1,-0.7041970167465302,1.2156890547750596,0.0,SAE,sGC stimulators
vericiguat,0.3146442027018668,0.33519115633155055,1,0.3146442027018668,0.5789569555083958,0.0,SAE,sGC stimulators
