nct_id,outcome,intervention_class,intervention_label,comparator_class,e_t,n_t,e_c,n_c,cer,log_rr,var_log_rr,rr,ef_band,primary_completion_year,enrollment,time_months
NCT04435626,SAE,MRA,finerenone,Placebo/SoC,87.0,2993.0,110.0,2993.0,0.03675242231874373,-0.2345722471378324,0.019916936104131512,0.790909090909091,mixed_or_midrange,2024.0,6016,28.0
NCT01516346,SAE,Other,isosorbide dinitrate; isosorbide dinitrate + hydralazine,Placebo/SoC,6.0,28.0,1.0,16.0,0.0625,1.2321436812926323,1.068452380952381,3.4285714285714284,strict_hfpef,2016.0,44,5.523590333716917
NCT02173548,SAE,Other,anakinra,Placebo/SoC,1.0,20.0,1.0,10.0,0.1,-0.6931471805599453,1.8499999999999999,0.5,strict_hfpef,2017.0,31,5.523590333716917
NCT02262078,SAE,Other,sodium nitrite,Placebo/SoC,1.0,13.0,1.0,13.0,0.07692307692307693,0.0,1.8461538461538463,1.0,strict_hfpef,2015.0,26,
NCT02713126,SAE,Other,sodium nitrite,Placebo/SoC,2.0,37.0,1.0,36.0,0.027777777777777776,0.665748206371831,1.4451951951951953,1.945945945945946,strict_hfpef,2022.0,92,3.222094361334868
NCT02742129,SAE,Other,air001,Placebo/SoC,1.0,103.0,2.0,102.0,0.0196078431372549,-0.7029033555053101,1.480487340567295,0.4951456310679611,strict_hfpef,2017.0,105,0.4602991944764097
NCT02918552,SAE,Other,treatment arm,Placebo/SoC,1.0,7.0,2.0,8.0,0.25,-0.5596157879354228,1.2321428571428572,0.5714285714285714,unknown,2018.0,15,3.6823935558112777
NCT02941705,SAE,Other,recieved cells,Placebo/SoC,2.0,13.0,1.0,13.0,0.07692307692307693,0.6931471805599453,1.3461538461538463,2.0,strict_hfpef,2023.0,27,12.0
NCT03015402,SAE,Other,oral nitrite,Placebo/SoC,9.0,24.0,8.0,24.0,0.3333333333333333,0.11778303565638346,0.1527777777777778,1.125,mixed_or_midrange,2023.0,33,5.983889528193326
NCT03037580,SAE,Other,oral treprostinil,Placebo/SoC,2.0,41.0,2.0,43.0,0.046511627906976744,0.047628048989254664,0.9523539421440725,1.048780487804878,mixed_or_midrange,2019.0,84,5.523590333716917
NCT03098979,SAE,Other,neladenoson bialanate 10mg; neladenoson bialanate 20mg; neladenoson bialanate 30mg; neladenoson bialanate 40mg; neladenoson bialanate 5mg,Placebo/SoC,18.0,229.0,3.0,76.0,0.039473684210526314,0.6887708059601465,0.37136418192497256,1.9912663755458517,mixed_or_midrange,2018.0,305,5.983889528193326
NCT03133793,SAE,Other,coq10 + d-ribose; coq10 only; d-ribose only,Placebo/SoC,7.0,101.0,3.0,38.0,0.07894736842105263,-0.13023649672767,0.4399736966177821,0.877887788778878,strict_hfpef,2021.0,216,3.0
NCT03153111,SAE,Other,macitentan,Placebo/SoC,6.0,71.0,6.0,71.0,0.08450704225352113,0.0,0.30516431924882625,1.0,mixed_or_midrange,2021.0,143,17.0
NCT03327649,SAE,Other,active treatment,Placebo/SoC,4.0,24.0,3.0,24.0,0.125,0.28768207245178085,0.49999999999999994,1.3333333333333333,strict_hfpef,2021.0,52,3.0
NCT03541603,SAE,Other,levosimendan 2.5mg/ml injectable solution,Placebo/SoC,2.0,18.0,1.0,19.0,0.05263157894736842,0.7472144018302211,1.391812865497076,2.111111111111111,mixed_or_midrange,2020.0,44,1.3808975834292292
NCT03756285,SAE,Other,azd4831,Placebo/SoC,1.0,27.0,1.0,14.0,0.07142857142857142,-0.6567795363890705,1.8915343915343916,0.5185185185185185,mixed_or_midrange,2020.0,41,4.073921971252567
NCT04327024,SAE,Other,allopurinol; verinurad + allopurinol,Placebo/SoC,7.0,106.0,2.0,53.0,0.03773584905660377,0.5596157879354227,0.6145552560646901,1.75,mixed_or_midrange,2022.0,159,8.285385500575375
