outcome,intervention_class,scenario,delta,missing_fraction_participants,missing_fraction_trials,missing_fraction_used,missing_fraction_rule,enrollment_coverage,eligible_completed_trials,observed_trials,missing_trials,total_participants,missing_participants,observed_rr,adjusted_rr,observed_absolute_per_1000,adjusted_absolute_per_1000,conclusion_change,robust_under_scenario
HF_HOSPITALIZATION,Other,S0_MAR,0.0,0.9977657657657658,0.9920634920634921,0.9977657657657658,participant_fraction,1.0,126,1,125,13875.0,13844.0,0.4,0.4,60.0,60.0,stable,True
HF_HOSPITALIZATION,Other,delta_+0.10,0.1,0.9977657657657658,0.9920634920634921,0.9977657657657658,participant_fraction,1.0,126,1,125,13875.0,13844.0,0.4,0.44196960983503375,60.0,55.803039016496626,stable,True
HF_HOSPITALIZATION,Other,delta_+0.20,0.2,0.9977657657657658,0.9920634920634921,0.9977657657657658,participant_fraction,1.0,126,1,125,13875.0,13844.0,0.4,0.48834284004432993,60.0,51.165715995567005,stable,True
SAE,ARB/ACEi,S0_MAR,0.0,0.9507731145471757,0.875,0.9507731145471757,participant_fraction,1.0,8,1,7,9507.0,9039.0,0.8122362869198313,0.8122362869198313,18.776371308016877,18.776371308016877,stable,True
SAE,ARB/ACEi,delta_+0.10,0.1,0.9507731145471757,0.875,0.9507731145471757,participant_fraction,1.0,8,1,7,9507.0,9039.0,0.8122362869198313,0.8932518812990693,18.776371308016877,10.674811870093066,stable,True
SAE,ARB/ACEi,delta_+0.20,0.2,0.9507731145471757,0.875,0.9507731145471757,participant_fraction,1.0,8,1,7,9507.0,9039.0,0.8122362869198313,0.9823482849678201,18.776371308016877,1.765171503217985,stable,True
SAE,MRA,S0_MAR,0.0,0.0,0.0,0.0,participant_fraction,1.0,1,1,0,6016.0,0.0,0.953833470733718,0.953833470733718,4.616652926628191,4.616652926628191,stable,True
SAE,MRA,delta_+0.10,0.1,0.0,0.0,0.0,participant_fraction,1.0,1,1,0,6016.0,0.0,0.953833470733718,0.953833470733718,4.616652926628191,4.616652926628191,stable,True
SAE,MRA,delta_+0.20,0.2,0.0,0.0,0.0,participant_fraction,1.0,1,1,0,6016.0,0.0,0.953833470733718,0.953833470733718,4.616652926628191,4.616652926628191,stable,True
SAE,Other,S0_MAR,0.0,0.5501981981981982,0.8412698412698413,0.5501981981981982,participant_fraction,1.0,126,24,106,13875.0,7634.0,1.011955618538825,1.011955618538825,-1.195561853882495,-1.195561853882495,stable,True
SAE,Other,delta_+0.10,0.1,0.5501981981981982,0.8412698412698413,0.5501981981981982,participant_fraction,1.0,126,24,106,13875.0,7634.0,1.011955618538825,1.0691934022459135,-1.195561853882495,-6.919340224591352,stable,True
SAE,Other,delta_+0.20,0.2,0.5501981981981982,0.8412698412698413,0.5501981981981982,participant_fraction,1.0,126,24,106,13875.0,7634.0,1.011955618538825,1.1296686440229815,-1.195561853882495,-12.966864402298157,harm_threshold_crossed,False
SAE,SGLT2 inhibitors,S0_MAR,0.0,0.03329284846752876,0.5,0.03329284846752876,participant_fraction,1.0,14,7,7,13997.0,466.0,0.9840563237575861,0.9840563237575861,1.5943676242413858,1.5943676242413858,stable,True
SAE,SGLT2 inhibitors,delta_+0.10,0.1,0.03329284846752876,0.5,0.03329284846752876,participant_fraction,1.0,14,7,7,13997.0,466.0,0.9840563237575861,0.9873379873298248,1.5943676242413858,1.2662012670175216,stable,True
SAE,SGLT2 inhibitors,delta_+0.20,0.2,0.03329284846752876,0.5,0.03329284846752876,participant_fraction,1.0,14,7,7,13997.0,466.0,0.9840563237575861,0.9906305947022723,1.5943676242413858,0.9369405297727695,stable,True
SAE,sGC stimulators,S0_MAR,0.0,0.08526011560693642,0.3333333333333333,0.08526011560693642,participant_fraction,1.0,3,3,1,1384.0,118.0,1.03382674974074,1.03382674974074,-3.382674974074007,-3.382674974074007,stable,True
SAE,sGC stimulators,delta_+0.10,0.1,0.08526011560693642,0.3333333333333333,0.08526011560693642,participant_fraction,1.0,3,3,1,1384.0,118.0,1.03382674974074,1.042678851498083,-3.382674974074007,-4.2678851498082935,stable,True
SAE,sGC stimulators,delta_+0.20,0.2,0.08526011560693642,0.3333333333333333,0.08526011560693642,participant_fraction,1.0,3,3,1,1384.0,118.0,1.03382674974074,1.0516067490360457,-3.382674974074007,-5.160674903604573,stable,True
